code_sowing,sensor_name_raw,logger_name,loc,microhabitat,replica,status,obs
R110,P21,ESSN_HZM_R1,HZM,ROCA,1,Ok,
G110,LANP33,ESSN_HZM_G1,HZM,GENISTA,1,Ok,
P110,P27,ESSN_HZM_P1,HZM,PASTIZAL,1,Ok,
E109,P4,ESSN_HZM_E1,HZM,ENEBRAL,1,Ok,
B101,P66,ESSN_HZM_B1,HZM,BORREGUIL,1,Ok,
B310,P47,ESSN_HZM_B3_00,HZM,BORREGUIL,3,Not Found,Se perdió
R310,LANP32,ESSN_HZM_R3,HZM,ROCA,3,Ok,
G307,LANP31,ESSN_HZM_G3,HZM,GENISTA,3,Ok,
E308,P24,ESSN_HZM_E3,HZM,ENEBRAL,3,Ok,
P309,P35,ESSN_HZM_P3,HZM,PASTIZAL,3,Ok,
B504,P39,ESSN_BER_B5,BER,BORREGUIL,5,Ok,
R510,X1,ESSN_BER_R5,BER,ROCA,5,Ok,
P508,P33,ESSN_BER_P5,BER,PASTIZAL,5,Ok,
R403,P43,ESSN_BER_R4,BER,ROCA,4,Ok,
P404,P26,ESSN_BER_P4_00,BER,PASTIZAL,4,Broken,Roto. Se sacaron los datos. Sustituido por BER_01
B410,P22,ESSN_BER_B4,BER,BORREGUIL,4,Ok,
P404,BER_01,ESSN_BER_P4,BER,PASTIZAL,4,Ok,Puesto en la misma réplica que p26
R201,H1,ESSN_HZM_R2,HZM,ROCA,2,Ok,
G202,H2,ESSN_HZM_G2,HZM,GENISTA,2,Ok,
B203,H3,ESSN_HZM_B2,HZM,BORREGUIL,2,Ok,
E204,H4,ESSN_HZM_E2,HZM,ENEBRAL,2,Ok,
B304,H5,ESSN_HZM_B3,HZM,BORREGUIL,3,Ok,